[17:38:47] [info] VERTEX: Creating window: Vertex Editor (1600, 900, 1.7777778)
[17:38:48] [info] VERTEX: GLAD STATUS: 1
[17:38:48] [info] VERTEX: OpenGL Info:
[17:38:48] [info] VERTEX:   Vendor: NVIDIA Corporation
[17:38:48] [info] VERTEX:   Renderer: NVIDIA GeForce GTX 1660 SUPER/PCIe/SSE2
[17:38:48] [info] VERTEX:   Version: 4.6.0 NVIDIA 560.94
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:58] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:38:59] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:00] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:01] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:02] [info] VERTEX: Window Resized
[17:39:05] [info] VERTEX: Window Resized
